"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1727","User login with wrong email or password","LMS system","Thu Jan 29 12:59:53 UTC 2026","passed","Thu Jan 29 12:59:54 UTC 2026","Authorization","Authentication","",""
"","1782","Check displaying of dashboard page","LMS system","Thu Jan 29 13:00:03 UTC 2026","passed","Thu Jan 29 13:00:05 UTC 2026","Dashboard","Dashboard","",""
"","3480","Edit course","LMS system","Thu Jan 29 13:00:01 UTC 2026","passed","Thu Jan 29 13:00:04 UTC 2026","Courses","Courses","",""
"","1866","Navigation from login page to registration page","LMS system","Thu Jan 29 12:59:55 UTC 2026","passed","Thu Jan 29 12:59:57 UTC 2026","Authorization","Authentication","",""
"","1944","Registration with correct email, username and password","LMS system","Thu Jan 29 12:59:56 UTC 2026","passed","Thu Jan 29 12:59:58 UTC 2026","Registration","Authentication","",""
"","2732","Create course","LMS system","Thu Jan 29 13:00:00 UTC 2026","passed","Thu Jan 29 13:00:03 UTC 2026","Courses","Courses","",""
"","1659","Check displaying of empty courses list","LMS system","Thu Jan 29 12:59:59 UTC 2026","passed","Thu Jan 29 13:00:00 UTC 2026","Courses","Courses","",""
"","1984","User login with wrong email or password","LMS system","Thu Jan 29 12:59:50 UTC 2026","passed","Thu Jan 29 12:59:52 UTC 2026","Authorization","Authentication","",""
"","1967","User login with wrong email or password","LMS system","Thu Jan 29 12:59:50 UTC 2026","passed","Thu Jan 29 12:59:52 UTC 2026","Authorization","Authentication","",""
"","3173","User login with correct email and password","LMS system","Thu Jan 29 12:59:53 UTC 2026","passed","Thu Jan 29 12:59:56 UTC 2026","Authorization","Authentication","",""
